work_code	balance	actually_printed	assumed_printed	other_in	out	stocktakes	full_book_title
spbk0000497	-20816	1000	0	1950	-23766	2500; 2188; 1507; 5462; 4442; 5154; 4126; 8004; 9952; 9952; 19	"Descriptions des arts et métiers, faites ou approuvées par Messieurs de l'Académie royale des sciences de Paris"
spbk0002756	-14413	15000	0	30	-29443	15500; 1260; 1100	Histoire philosophique et politique des établissements et du commerce des Européens dans les deux Indes
spbk0003309	-4900	3000	0	417	-8317	2392; 1894; 6; 983; 756; 142; 13	"Cours abrégé de géographie historique, ancienne & moderne, et de sphère: par demandes et réponses. Troisième edition"
spbk0003731	-3695	4487	0	7050	-15232	28; 396; 80	"Bibliothèque philosophique du législateur, du politique, du jurisconsulte ou Choix des meilleurs discours, dissertations, essais, fragmens, composés sur la législation criminelle par les plus célèbres écrivains, en françois, anglois, italien, allemand, espagnol, &c. pour parvenir à la réforme des loix pénales dans tous les pays"
spbk0000021	-1633	4000	0	1183	-6816	3700; 1113; 2432; 5; 5; 74; 1780; 1600; 20; 20; 1437; 10; 518; 122; 29; 7; 1; 384; 1; 77; 122; 8; 2; 131; 54	[Abrégé de l'histoire sainte et du catéchisme]
spbk0002981	-1612	2000	0	478	-4090	1562; 42; 158	Système de la nature ou Des loix du monde physique & du monde moral
spbk0002332	-1240	2250	0	952	-4442	787; 781; 167; 64	Théatre à l'usage des jeunes personnes
spbk0003563	-1162	750	0	127	-2039	37; 28; 642; 2; 1768; 1134; 135	"Discours politiques, historiques et critiques sur quelques gouvernemens de l'Europe"
spbk0002948	-739	3000	0	147	-3886	1116; 1028; 1038; 793; 793; 619; 480; 13; 354; 3719; 957; 721	Géographie élémentaire. Troisième édition
spbk0003755	-576	2060	0	58	-2694	229; 9; 4; 1672; 174; 344; 766; 604; 92; 550; 18	"Thévenon (le), ou Les journées de la montagne"
spbk0002700	-546	2000	0	88	-2634	2100; 108; 108; 2	"Malheurs (les) de l'inconstance, ou Lettres de la marquise de Syrcé et du comte de Mirbelle"
spbk0000083	-526	6000	0	120	-6646		"Amusemens de société, ou Proverbes dramatiques"
spbk0002363	-345	600	0	9	-954	104; 104	"Traité de paix entre sa majesté l'impératrice, reine de Hongrie et de Bohême, et sa majesté le roi de Prusse, conclu & signé à Teschen, le 13 mai 1779"
spbk0003889	-269	7500	0	65	-7834		"Cecilia, ou Mémoires d'une héritière par l'auteur d'Evelina; traduits de l'anglois"
spbk0001306	-260	0	1896	82	-2238	520; 404; 404; 98; 280; 200; 74; 90; 56; 40	"Journal de Pierre le Grand, depuis l'année 1698, jusqu'à la conclusion de la paix de Nystadt"
spbk0003977	-206	15874	14962	181	-31223	133; 1589; 1442; 7; 2223; 558; 126	Collection complète des oeuvres de Madame Riccoboni
spbk0004037	-72	2000	0	876	-2948	52; 268; 44; 336; 48; 8	"Nouvel (le) Abeilard, ou Lettres de deux amans qui ne se sont jamais vus"
spbk0002978	-62	0	2058	332	-2452	118	Théorie des lois criminelles
spbk0001586	-44	0	2260	388	-2692	856; 512; 512; 432; 232; 336; 148; 160; 48; 52	"Miroir (le) d'or, ou Les rois du Chéchian"
spbk0001283	-41	1208	0	1	-1250	1; 4; 1	"Jammabos (les), ou Les moines japonois"
spbk0001458	-40	0	2016	2	-2058	1090; 130; 80; 8	"Liaisons (les) dangereuses ou Lettres recueillies dans une société, & publiées pour l'instruction de quelques autres"
spbk0001760	-40	2044	0	412	-2496	192; 310; 310; 314; 168; 106; 22; 90; 34; 2	"Observations sur la religion, les loix, le gouvernement et les moeurs des Turcs"
spbk0002488	-26	3000	0	358	-3384	536; 140	Voyage historique et littéraire dans la Suisse occidentale
spbk0004150	-26	3060	0	1792	-4878	1144; 20; 12; 40; 8	Histoire de l'Amérique
spbk0005021	-26	0	1634	40	-1700	862; 862; 68; 6; 16; 14; 6	Collection complète des oeuvres de M. Gessner
spbk0001448	-25	0	728	0	-753	113	Lettres à M. l'Abbé Raynal: sur l'histoire de la révocation de l'edit de Nantes qu'il se propose de publier
spbk0001051	-24	0	1043	27	-1094	815; 815; 236; 2; 7; 5	"Jezennemours, roman dramatique"
spbk0001761	-16	0	1277	0	-1293	4; 4	"Observations sur la littérature en France, sur le barreau, les journaux, &c. ou Lettres d'un Parisien à son ami en province"
spbk0001076	-11	0	666	305	-982	226; 52; 52; 4	"Histoire de Maurice, comte de Saxe, duc de Courlande et de Sémigalle, maréchal-général des camps & armées de sa Majesté très-chrétienne"
spbk0002723	-8	988	1352	110	-2458	8; 34; 10; 10; 2; 2; 20; 4	Réflexions philosophiques sur le système de la nature
spbk0000193	-7	0	931	11	-949	82; 82; 4	"Barbier (le) de Séville, ou La Précaution inutile"
spbk0002513	-7	0	1018	3	-1028	93; 93; 31	"Vrais (les) principes de la lecture, de l'orthographe est de la prononciation française"
spbk0002967	-7	1000	0	64	-1071	43; 43; 32; 30; 1; 1	"Henri IV, drame lyrique en 3 actes et en prose, par M. de Rozoy"
spbk0002198	-6	0	61	0	-67	61; 61; 3; 3	"Devoirs (les) du chrétien envers son souverain, ou Sermon sur S. Matth. chap. XXII, vers. 21, prononcé dans l'église collégiale de Saint-Imier, le 15 septembre 1776 à l'occasion de la prestation d'hommage des habitans de l'Erguël à Son Altesse révérendissime, illustrissime, Monseigneur Frédéric-Louis-François, né Baron de Vangen, de Geroltzegg, Evêque de Bâle, Prince du Saint-Empire, &c. / par C.L. Liomin, proposant, membre de la Société de littérature sacrée de Bâle "
spbk0000581	-5	0	535	31	-571	27; 2; 13; 13; 8; 2; 16; 5	Discours oratoire contenant l’éloge de S.E.M. le chevalier André Tron
spbk0001956	-4	0	7572	224	-7800	8	"Portraits des rois de France, par M. Mercier"
spbk0000745	-3	1000	0	1013	-2016	127	"Espion anglois (l'), ou correspondance secrète entre milord All'eye et milord Alle'ar"
spbk0002972	-3	515	0	0	-518		"Histoire de la dissertation sur la littérature allemende, publiée à Berlin en 1780"
spbk0000689	-2	0	500	6	-508	10; 10	Eloge de Marc-Aurèle
spbk0000130	0	218	0	0	-218		"Architecture hydraulique. Canal des deux mers, par M. de La Roche"
spbk0000225	0	1000	135	0	-1135	5	"Bon (le) père, ou Le Chrétien protestant"
spbk0000299	0	0	612	0	-612		"Catéchumène (le) instruit sous une forme nouvelle, ou Le catéchisme admis à la sainte communion"
spbk0000326	0	0	780	0	-780		"Chrétien (le) par conviction et par sentiment, ou La Foi sans incertitude et la piété sans superstition"
spbk0000445	0	1000	0	0	-1000		Correspondance universelle sur ce qui intéresse le bonheur de l'homme et de la société
spbk0001373	0	0	1582	0	-1582		"Lettres d'Elisabeth Sophie de Vallière à Louise Hortence de Canteleu, son amie"
spbk0001418	0	0	995	8	-1003	1	Lettres du comte Algarotti sur la Russie
spbk0001698	0	0	509	0	-509		Méthode analytique pour apprendre philosophiquement les langues & principalement la langue françoise
