client_code,profession_code,client_name,has_correspondence,partnership,gender,data_source,option_menu_type,number_of_letters,number_of_documents,first_date,last_date,notes.x,place_code,address,ID,name,alternative_names,town,C18_lower_territory,C18_sovereign_territory,C21_admin,C21_country,geographic_zone,BSR,HRE,EL,IFC,P,HE,HT,WT,PT,PrT,distance_from_neuchatel,latitude,longitude,notes.y,other_documents
cl0011,pf171,"Fuzon ainé, Joseph",0,0,M,MS 1000A,Miscellaneous clients,2,2,6th March 1776,30th March 1776,NA,pl008,NA,11,AMBERT,NA,AMBERT,Riom,France,Puy-de-Dôme,France,French,Bourbon France,0,0,0,0,0,0,0,0,0,293,45.55061944,3.73944167,NA,0
cl0012,pf171,Malmenayde & Fuzon,0,0,M,MS 1000A,Miscellaneous clients,3,3,4th May 1773,28th December 1773,NA,pl008,NA,12,AMBERT,NA,AMBERT,Riom,France,Puy-de-Dôme,France,French,Bourbon France,0,0,0,0,0,0,0,0,0,293,45.55061944,3.73944167,NA,0
cl0035,pf171,"Johannot, Matthieu & Fils",0,0,M,MS 1000A,Miscellaneous clients,5,5,27th August 1770,13th February 1778,MS1106 suggests that 'Mathieu' and 'Johannot' may be separate individuals.,pl015,NA,35,ANNONAY,NA,ANNONAY,Montpellier,France,Ardèche,France,French,Bourbon France,0,0,0,0,0,0,0,0,0,261,45.24034444,4.66843333,Confirmation: after map by H. Jaillot of Dauphiné (1728).,0
cl0036,pf171,"Montgolfier, J.",0,0,M,MS 1000A,Miscellaneous clients,1,1,3rd January 1775,NA,NA,pl015,NA,36,ANNONAY,NA,ANNONAY,Montpellier,France,Ardèche,France,French,Bourbon France,0,0,0,0,0,0,0,0,0,261,45.24034444,4.66843333,Confirmation: after map by H. Jaillot of Dauphiné (1728).,0
cl0041,pf171,"Sette, A.",0,0,M,MS 1000A,Miscellaneous clients,7,7,20th December 1767,18th May 1783,'La convention' Sette-S.Fauche 05/06/1769 can be found in the dossier Fauche contre Heilmann.,pl019,NA,41,ARDON,NA,ARDON,Besançon,France,Jura,France,French,Bourbon France,0,0,0,0,0,0,0,0,0,83,46.77403611,5.88894722,"Identification uncertain. This is the nearest Ardon to Neuchâtel. Could also be Ardon in Valais (90 km distant) or even Ardon in the Loiret near Orleans. Correspondence lacks precise data, but as correspondent is a papetier and not based in a large town, he is probably relatively local.",0
cl0078,pf171,"Blättler, Franz-Xaver",0,0,M,MS 1000A,Miscellaneous clients,1,1,11th January 1778,NA,NA,pl030,NA,79,BÄCH,NA,BÄCH,Schwyz,Swiss confederation,Schwyz,Switzerland,Helvetic,Swiss,0,0,0,0,0,0,0,0,0,139,47.20376111,8.73295278,"Identity uncertain; There are Bächs in Berne, Lucerne and Schwyz, but the correspondent Blattler was a papetier. His letters took 11 days to reach the STN and Bächs in Schwyz from 1769 had a papermill, it seems the most likely candidate. This is, moreover, the only Bäch recorded in Dictionnaire Historique de la Suisse. No population figure is given. The slow speed of letters plus the fact that the letter added 'en Suisse' to the address raises possibility he wrote from Bäch in Austria.",0
cl0082,pf171,"Blum, Jérome",0,0,M,MS 1000A,Miscellaneous clients,21,21,22nd July 1769,13th July 1782,NA,pl032,NA,83,BALE,"Basel, Basle",BASLE,Basle,Swiss confederation,Basel-Stadt,Switzerland,Helvetic,Swiss,0,0,0,0,0,0,0,0,0,81,47.57,7.58,Higher education: University created in 1459.,0
cl0098,pf171,"Heusler, Nicolas",0,0,M,MS 1000A,Miscellaneous clients,1,1,22nd July 1769,NA,NA,pl032,NA,99,BALE,"Basel, Basle",BASLE,Basle,Swiss confederation,Basel-Stadt,Switzerland,Helvetic,Swiss,0,0,0,0,0,0,0,0,0,81,47.57,7.58,Higher education: University created in 1459.,0
cl0128,pf171,Stampfer & Heusler,0,0,M,MS 1000A,Miscellaneous clients,2,2,22nd July 1769,29th July 1769,NA,pl032,NA,129,BALE,"Basel, Basle",BASLE,Basle,Swiss confederation,Basel-Stadt,Switzerland,Helvetic,Swiss,0,0,0,0,0,0,0,0,0,81,47.57,7.58,Higher education: University created in 1459.,0
cl0145,pf171,"Santas, Xavier",0,0,M,MS 1000A,Miscellaneous clients,2,2,21st September 1771,28th August 1771,NA,pl037,NA,145,BASSECOURT,NA,BASSECOURT,Basle Bishopric,Basle Bishopric,Canton of Jura,Switzerland,Helvetic,Swiss,0,0,0,0,0,0,0,0,0,45,47.337175,7.24591111,Place identity and details confirmed in the Dictionnaire historique de la Suisse.,0
