client_name,number_of_letters,other_documents,name,distance_from_neuchatel
Monnier,200,0,BESANCON,74
Charmet,179,0,BESANCON,74
Fontaine,83,0,FRIBOURG,27
Thomasset,76,0,VUILLAFANS,55
"Cochet, Pierre",43,3,LYON,211
"Gurdat, Jean-Baptiste",40,0,BASSECOURT,45
Ferreux & Caseau,38,0,BESANCON,74
Desgranges,38,0,LUXEUIL,101
"Morel, Jean-Nicolas",37,0,MÉLIÈRE,48
"Girard, Antoine",34,2,LYON,211
Planche,36,0,VUILLAFANS,55
"Verchet, Jacques",31,0,PONTARLIER,45
"Schodelli, André & Cie",29,0,LYON,211
"Schertz, Jean George",27,0,STRASBOURG,187
Tavernier,26,0,LYON,211
"Pignat, François",22,0,VOUVRY,73
